Date,SKU,Stock Level,Reorder Level,Cost Price,,Reorder Quantity
01-01-2024,SKU0001,228,119,33.55,,0
02-01-2024,SKU0001,374,110,13.29,,0
03-01-2024,SKU0001,426,54,17.82,,0
04-01-2024,SKU0001,267,108,46.22,,0
05-01-2024,SKU0001,111,51,13.25,,0
06-01-2024,SKU0001,115,51,12.81,,0
07-01-2024,SKU0001,436,52,26.58,,0
08-01-2024,SKU0001,237,119,9.15,,0
09-01-2024,SKU0001,397,144,45.26,,0
10-01-2024,SKU0001,51,92,9.51,,41
11-01-2024,SKU0001,83,54,32.75,,0
12-01-2024,SKU0001,110,99,20.29,,0
13-01-2024,SKU0001,199,59,41.19,,0
14-01-2024,SKU0001,218,76,31.54,,0
15-01-2024,SKU0001,228,73,22.47,,0
16-01-2024,SKU0001,316,71,49.27,,0
17-01-2024,SKU0001,424,138,7.98,,0
18-01-2024,SKU0001,20,52,31,,32
19-01-2024,SKU0001,175,65,49.53,,0
20-01-2024,SKU0001,55,79,36.09,,24
21-01-2024,SKU0001,290,92,38.29,,0
22-01-2024,SKU0001,299,53,6.44,,0
23-01-2024,SKU0001,294,89,5.96,,0
24-01-2024,SKU0001,496,65,6.62,,0
25-01-2024,SKU0001,142,121,49.63,,0
26-01-2024,SKU0001,494,137,49.08,,0
27-01-2024,SKU0001,395,65,20.05,,0
28-01-2024,SKU0001,372,140,18.09,,0
29-01-2024,SKU0001,225,115,11.57,,0
30-01-2024,SKU0001,7,104,19.81,,97
01-01-2024,SKU0002,123,69,21.66,,0
02-01-2024,SKU0002,245,100,38.67,,0
03-01-2024,SKU0002,100,133,43.98,,33
04-01-2024,SKU0002,477,133,38.6,,0
05-01-2024,SKU0002,322,132,34.09,,0
06-01-2024,SKU0002,349,106,39.47,,0
07-01-2024,SKU0002,92,100,38.23,,8
08-01-2024,SKU0002,384,67,26.41,,0
09-01-2024,SKU0002,253,126,20.11,,0
10-01-2024,SKU0002,79,130,17.73,,51
11-01-2024,SKU0002,297,108,35.57,,0
12-01-2024,SKU0002,30,146,48.17,,116
13-01-2024,SKU0002,377,77,31.15,,0
14-01-2024,SKU0002,329,118,46.06,,0
15-01-2024,SKU0002,413,77,5.64,,0
16-01-2024,SKU0002,298,138,40.75,,0
17-01-2024,SKU0002,281,133,43.41,,0
18-01-2024,SKU0002,11,134,33.39,,123
19-01-2024,SKU0002,126,62,47.03,,0
