Order ID,Date,SKU,Units Sold,Selling Price,Total Sales Value
1,22-09-2024,SKU0033,2,99.26,198.52
2,20-10-2024,SKU0039,2,98.17,196.34
3,14-10-2024,SKU0043,1,23.41,23.41
4,13-11-2024,SKU0025,2,69.17,138.34
5,29-09-2024,SKU0018,2,45.97,91.94
6,07-11-2024,SKU0041,1,75.86,75.86
7,26-09-2024,SKU0035,2,46.53,93.06
8,16-11-2024,SKU0024,1,44.49,44.49
9,27-10-2024,SKU0055,1,91.36,91.36
10,31-10-2024,SKU0040,1,54.51,54.51
11,23-09-2024,SKU0087,2,76.58,153.16
12,04-10-2024,SKU0097,1,68.49,68.49
13,08-10-2024,SKU0029,1,69.19,69.19
14,30-09-2024,SKU0010,1,41.42,41.42
15,22-10-2024,SKU0079,2,32.72,65.44
16,24-09-2024,SKU0010,2,89.69,179.38
17,28-09-2024,SKU0090,2,12.21,24.42
18,26-10-2024,SKU0064,2,25.56,51.12
19,03-11-2024,SKU0029,2,21.95,43.9
20,19-10-2024,SKU0098,2,95.44,190.88
21,10-10-2024,SKU0018,1,10.45,10.45
22,28-10-2024,SKU0002,2,10.72,21.44
23,25-10-2024,SKU0025,2,30.41,60.82
24,30-09-2024,SKU0085,1,35.12,35.12
25,04-11-2024,SKU0051,1,60.38,60.38
26,06-11-2024,SKU0095,2,96.51,193.02
27,21-09-2024,SKU0022,2,51.85,103.7
28,05-10-2024,SKU0009,2,35.99,71.98
29,19-09-2024,SKU0091,1,83.53,83.53
30,17-09-2024,SKU0089,1,44.72,44.72
31,26-10-2024,SKU0089,1,22.76,22.76
32,27-10-2024,SKU0091,1,81.51,81.51
33,23-10-2024,SKU0074,1,10.22,10.22
34,19-10-2024,SKU0094,2,28.46,56.92
35,04-11-2024,SKU0004,2,67.16,134.32
36,12-11-2024,SKU0021,2,19.22,38.44
37,01-11-2024,SKU0030,2,33.02,66.04
38,03-10-2024,SKU0033,2,45.4,90.8
39,25-09-2024,SKU0043,1,45.68,45.68
40,17-10-2024,SKU0090,1,97.55,97.55
41,21-10-2024,SKU0002,1,70.8,70.8
42,19-09-2024,SKU0087,1,13.33,13.33
43,29-09-2024,SKU0031,2,29.92,59.84
44,07-11-2024,SKU0004,2,65.48,130.96
45,23-10-2024,SKU0047,1,74.21,74.21
46,24-10-2024,SKU0084,2,44.25,88.5
47,30-09-2024,SKU0089,1,87.09,87.09
48,22-09-2024,SKU0045,2,94.91,189.82
49,13-11-2024,SKU0065,2,65.27,130.54
50,15-10-2024,SKU0066,2,60.62,121.24
51,16-11-2024,SKU0006,1,77.57,77.57
52,12-11-2024,SKU0007,2,80.38,160.76
53,04-11-2024,SKU0051,2,29.39,58.78
54,25-09-2024,SKU0068,1,53.52,53.52
55,22-10-2024,SKU0018,2,50.27,100.54
56,09-10-2024,SKU0041,1,94.73,94.73
57,01-10-2024,SKU0069,2,20.06,40.12
58,09-11-2024,SKU0025,2,94.91,189.82
59,12-11-2024,SKU0056,1,61.53,61.53
60,05-11-2024,SKU0001,2,35.92,71.84
61,02-11-2024,SKU0098,1,88.24,88.24
62,14-11-2024,SKU0055,1,14.54,14.54
63,05-11-2024,SKU0003,2,38.7,77.4
64,23-09-2024,SKU0054,2,77.73,155.46
65,02-11-2024,SKU0081,1,84.49,84.49
66,15-11-2024,SKU0032,2,25.07,50.14
67,11-10-2024,SKU0088,1,94.76,94.76
68,23-10-2024,SKU0002,1,14.84,14.84
69,09-10-2024,SKU0065,1,49.02,49.02
70,27-09-2024,SKU0098,2,18.77,37.54
71,11-11-2024,SKU0008,2,18.79,37.58
72,01-11-2024,SKU0058,1,92.25,92.25
73,24-09-2024,SKU0053,2,91.36,182.72
74,22-10-2024,SKU0044,1,65.37,65.37
75,28-10-2024,SKU0073,1,96.97,96.97
76,25-10-2024,SKU0028,1,54.19,54.19
77,17-09-2024,SKU0019,2,80.46,160.92
78,07-11-2024,SKU0056,2,18.75,37.5
79,30-10-2024,SKU0020,1,45.61,45.61
80,29-09-2024,SKU0071,1,56.36,56.36
81,02-10-2024,SKU0056,1,80.03,80.03
82,01-11-2024,SKU0035,1,40.1,40.1
83,29-09-2024,SKU0019,2,98.23,196.46
84,23-10-2024,SKU0081,1,76.13,76.13
85,30-09-2024,SKU0063,1,57.97,57.97
86,13-11-2024,SKU0082,2,39.77,79.54
87,29-09-2024,SKU0007,2,67.78,135.56
88,01-11-2024,SKU0027,1,70.58,70.58
89,28-09-2024,SKU0039,2,71.13,142.26
90,10-11-2024,SKU0030,1,62.76,62.76
91,14-10-2024,SKU0023,1,46.04,46.04
92,08-10-2024,SKU0084,1,83.5,83.5
93,06-10-2024,SKU0023,2,33.24,66.48
94,02-11-2024,SKU0090,2,66.28,132.56
95,05-10-2024,SKU0047,2,52.45,104.9
96,27-09-2024,SKU0078,1,90.36,90.36
97,16-10-2024,SKU0048,1,63.15,63.15
98,09-11-2024,SKU0095,1,87.01,87.01
99,12-10-2024,SKU0091,2,95.8,191.6
100,01-10-2024,SKU0063,2,21.43,42.86
101,16-10-2024,SKU0009,1,59.97,59.97
102,15-10-2024,SKU0023,2,89.56,179.12
103,15-11-2024,SKU0063,2,88.49,176.98
104,18-10-2024,SKU0074,1,27.63,27.63
105,08-11-2024,SKU0047,2,53.32,106.64
106,16-10-2024,SKU0087,2,30.08,60.16
107,30-10-2024,SKU0074,2,90.71,181.42
108,06-11-2024,SKU0066,1,10.29,10.29
109,02-10-2024,SKU0037,1,29.66,29.66
110,22-10-2024,SKU0038,2,46.81,93.62
111,04-10-2024,SKU0001,1,29.9,29.9
112,27-10-2024,SKU0048,2,97.62,195.24
113,03-11-2024,SKU0082,2,31.96,63.92
114,25-10-2024,SKU0035,2,42.61,85.22
115,14-10-2024,SKU0071,1,25.67,25.67
116,13-11-2024,SKU0086,2,93.4,186.8
117,05-10-2024,SKU0053,2,47.01,94.02
118,11-11-2024,SKU0025,1,33.57,33.57
119,11-11-2024,SKU0042,2,32.15,64.3
120,27-09-2024,SKU0023,1,62.71,62.71
121,03-10-2024,SKU0009,1,97.99,97.99
122,07-10-2024,SKU0027,2,97.68,195.36
123,23-10-2024,SKU0075,1,98.35,98.35
124,30-10-2024,SKU0051,1,44.8,44.8
125,06-11-2024,SKU0091,1,92.3,92.3
126,20-10-2024,SKU0092,2,50,100
127,19-10-2024,SKU0057,1,55.95,55.95
128,15-10-2024,SKU0082,1,56.79,56.79
129,20-09-2024,SKU0036,1,15.72,15.72
130,18-10-2024,SKU0034,2,25.94,51.88
